trial,seed,analysis,operator,sigma_r,kendall_tau,jaccard_top_k,delta_r_bar,policy_violation_rate,predictive_utility
9,51,score_uncertainty,min,0.0,0.9999999999999999,1.0,0.0,0.0,0.7401088943737613
9,51,score_uncertainty,min,0.02,0.9740533778148455,0.941747572815534,0.001653990549967066,0.0,0.7417628849237283
9,51,score_uncertainty,min,0.05,0.9333097178980477,0.8691588785046729,0.004695926862780864,0.0,0.7448048212365421
9,51,score_uncertainty,min,0.1,0.8636821287796514,0.7391304347826086,0.014635680595894485,0.0,0.7547445749696557
9,51,score_uncertainty,min,0.2,0.7766840047878438,0.6260162601626016,0.05540188264726997,0.0,0.7955107770210312
10,52,score_uncertainty,linear,0.0,1.0,1.0,0.0,0.11,0.8681008213742746
10,52,score_uncertainty,linear,0.02,0.9473313313313313,0.8691588785046729,0.003145986513931276,0.11,0.8712468078882059
10,52,score_uncertainty,linear,0.05,0.8647857019350335,0.6260162601626016,0.027191736987363435,0.19,0.895292558361638
10,52,score_uncertainty,linear,0.1,0.7452919419823869,0.47058823529411764,0.04301874631675229,0.23,0.9111195676910269
10,52,score_uncertainty,linear,0.2,0.5553327889923598,0.30718954248366015,0.054734755529527335,0.0,0.9228355769038019
10,52,score_uncertainty,geometric,0.0,0.9999999999999999,1.0,0.0,0.0,0.8197345094773502
