trial,seed,analysis,operator,lambda,kendall_tau,jaccard_top_k,delta_r_bar,policy_violation_rate,predictive_utility
11,53,lambda_perturbation,min,0.75,0.9999999999999999,1.0,0.0,0.0,0.7336307396080515
11,53,lambda_perturbation,min,0.775,0.9999999999999999,1.0,0.0,0.0,0.7336307396080515
11,53,lambda_perturbation,min,0.8,0.9999999999999999,1.0,0.0,0.0,0.7336307396080515
12,54,lambda_perturbation,linear,0.7,0.9237957957957958,0.7543859649122807,-0.03706433909728768,0.0,0.8182212812931984
12,54,lambda_perturbation,linear,0.725,0.9635195195195195,0.8348623853211009,-0.021951739734969,0.05,0.8333338806555171
12,54,lambda_perturbation,linear,0.75,1.0,1.0,0.0,0.13,0.8552856203904861
12,54,lambda_perturbation,linear,0.775,0.9654814814814816,0.7857142857142857,0.02584666720965756,0.24,0.8811322876001436
12,54,lambda_perturbation,linear,0.8,0.9336496496496496,0.6666666666666666,0.03917859035237092,0.3,0.894464210742857
12,54,lambda_perturbation,geometric,0.7,0.9625229357798163,0.8518518518518519,-0.017088721397354845,0.0,0.7895439552687807
12,54,lambda_perturbation,geometric,0.725,0.9812718932443701,0.9047619047619048,-0.011316406648226751,0.0,0.7953162700179088
12,54,lambda_perturbation,geometric,0.75,0.9999999999999999,1.0,0.0,0.0,0.8066326766661356
12,54,lambda_perturbation,geometric,0.775,0.9815679733110924,0.9230769230769231,0.00873801252667783,0.0,0.8153706891928134
12,54,lambda_perturbation,geometric,0.8,0.9632193494578815,0.8518518518518519,0.016561341626103787,0.0,0.8231940182922394
12,54,lambda_perturbation,min,0.7,0.9999999999999999,1.0,0.0,0.0,0.7160441765493144
12,54,lambda_perturbation,min,0.725,0.9999999999999999,1.0,0.0,0.0,0.7160441765493144
12,54,lambda_perturbation,min,0.75,0.9999999999999999,1.0,0.0,0.0,0.7160441765493144
12,54,lambda_perturbation,min,0.775,0.9999999999999999,1.0,0.0,0.0,0.7160441765493144
12,54,lambda_perturbation,min,0.8,0.9999999999999999,1.0,0.0,0.0,0.7160441765493144
